localhost 0:0:0:0:0:0:0:1 - - [2017-11-09 16:09:07] "POST /gms-web/login HTTP/1.1" 302 0 "http://localhost:9090/gms-web/login" "Mozilla/5.0 (Windows NT 6.1; Win64; x64; rv:56.0) Gecko/20100101 Firefox/56.0" "JSESSIONID=node0mljwx6xfxuzo19rwyk4pdzltw0.node0;JSESSIONID=aaa5R5CPKVtH_dq1YXq5v"
localhost 0:0:0:0:0:0:0:1 - - [2017-11-09 16:09:08] "GET /gms-web/index/index HTTP/1.1" 200 25262 "http://localhost:9090/gms-web/login" "Mozilla/5.0 (Windows NT 6.1; Win64; x64; rv:56.0) Gecko/20100101 Firefox/56.0" "JSESSIONID=node0mljwx6xfxuzo19rwyk4pdzltw0.node0;JSESSIONID=aaa5R5CPKVtH_dq1YXq5v"
localhost 0:0:0:0:0:0:0:1 - - [2017-11-09 16:09:10] "GET /gms-web/common/assets/pages/scripts/dashboard.min.js HTTP/1.1" 200 21130 "http://localhost:9090/gms-web/index/index" "Mozilla/5.0 (Windows NT 6.1; Win64; x64; rv:56.0) Gecko/20100101 Firefox/56.0" "JSESSIONID=node0mljwx6xfxuzo19rwyk4pdzltw0.node0;JSESSIONID=aaa5R5CPKVtH_dq1YXq5v"
localhost 0:0:0:0:0:0:0:1 - - [2017-11-09 16:09:10] "GET /gms-web/common/assets/layouts/layout/css/layout.min.css HTTP/1.1" 200 67875 "http://localhost:9090/gms-web/index/index" "Mozilla/5.0 (Windows NT 6.1; Win64; x64; rv:56.0) Gecko/20100101 Firefox/56.0" "JSESSIONID=node0mljwx6xfxuzo19rwyk4pdzltw0.node0;JSESSIONID=aaa5R5CPKVtH_dq1YXq5v"
localhost 0:0:0:0:0:0:0:1 - - [2017-11-09 16:09:10] "GET /gms-web/common/assets/global/plugins/counterup/jquery.counterup.min.js HTTP/1.1" 200 1069 "http://localhost:9090/gms-web/index/index" "Mozilla/5.0 (Windows NT 6.1; Win64; x64; rv:56.0) Gecko/20100101 Firefox/56.0" "JSESSIONID=node0mljwx6xfxuzo19rwyk4pdzltw0.node0;JSESSIONID=aaa5R5CPKVtH_dq1YXq5v"
localhost 0:0:0:0:0:0:0:1 - - [2017-11-09 16:09:10] "GET /gms-web/common/assets/layouts/layout/scripts/layout.min.js HTTP/1.1" 200 11018 "http://localhost:9090/gms-web/index/index" "Mozilla/5.0 (Windows NT 6.1; Win64; x64; rv:56.0) Gecko/20100101 Firefox/56.0" "JSESSIONID=node0mljwx6xfxuzo19rwyk4pdzltw0.node0;JSESSIONID=aaa5R5CPKVtH_dq1YXq5v"
localhost 0:0:0:0:0:0:0:1 - - [2017-11-09 16:09:10] "GET /gms-web/common/assets/global/plugins/counterup/jquery.waypoints.min.js HTTP/1.1" 200 8044 "http://localhost:9090/gms-web/index/index" "Mozilla/5.0 (Windows NT 6.1; Win64; x64; rv:56.0) Gecko/20100101 Firefox/56.0" "JSESSIONID=node0mljwx6xfxuzo19rwyk4pdzltw0.node0;JSESSIONID=aaa5R5CPKVtH_dq1YXq5v"
localhost 0:0:0:0:0:0:0:1 - - [2017-11-09 16:09:10] "GET /gms-web/common/assets/layouts/layout/css/themes/darkblue.min.css HTTP/1.1" 200 31064 "http://localhost:9090/gms-web/index/index" "Mozilla/5.0 (Windows NT 6.1; Win64; x64; rv:56.0) Gecko/20100101 Firefox/56.0" "JSESSIONID=node0mljwx6xfxuzo19rwyk4pdzltw0.node0;JSESSIONID=aaa5R5CPKVtH_dq1YXq5v"
localhost 0:0:0:0:0:0:0:1 - - [2017-11-09 16:09:10] "GET /gms-web/common/images/head.png HTTP/1.1" 200 984 "http://localhost:9090/gms-web/index/index" "Mozilla/5.0 (Windows NT 6.1; Win64; x64; rv:56.0) Gecko/20100101 Firefox/56.0" "JSESSIONID=node0mljwx6xfxuzo19rwyk4pdzltw0.node0;JSESSIONID=aaa5R5CPKVtH_dq1YXq5v"
localhost 0:0:0:0:0:0:0:1 - - [2017-11-09 16:09:10] "GET /gms-web/common/js/echarts.js HTTP/1.1" 200 2371359 "http://localhost:9090/gms-web/index/index" "Mozilla/5.0 (Windows NT 6.1; Win64; x64; rv:56.0) Gecko/20100101 Firefox/56.0" "JSESSIONID=node0mljwx6xfxuzo19rwyk4pdzltw0.node0;JSESSIONID=aaa5R5CPKVtH_dq1YXq5v"
